BusinessID,Name,Cuisine,Address,Coordinates,NumberOfReviews,Rating,ZipCode
x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,Indian,58 W 56th St,"40.763167, -73.977131",2325,4.5,10019
m5Whyz8O8jM4DrE808h71g,Darbar Grill,Indian,157 E 55th St,"40.759357, -73.968826",589,4.0,10022
QqrEF8_ZQCGi63cL10J5oA,Chola,Indian,232 E 58th St,"40.76016, -73.96582",676,4.0,10022
1_pK5aQ47atF50oAKHADhA,Indian Accent,Indian,123 W 56th St,"40.7643344624229, -73.9787312885132",715,4.5,10019
XLEdQl5s1bO5Iu43W_c96Q,Muna,Indian,152 East 46th St,"40.753509, -73.973515",37,4.5,10017
HEs6llkn3wIP1ATXeIZQew,Pippali,Indian,129 E 27th St,"40.74233, -73.98331",894,4.0,10016
z2VXX7wGl8XZ6_oo9W3koA,Patiala Indian Grill,Indian,371 W 34th St,"40.7534700430117, -73.99595067259492",623,4.5,10001
jf3JRaxUYU93x8LFU-8gkA,GupShup,Indian,115 E18th St,"40.7368323318866, -73.9877132715179",685,4.0,10003
jSMfV_e4Jh1DKoCnngOiQQ,Gulaabo,Indian,250 W 47th St,"40.759859, -73.986707",16,4.5,10036
Xqk91WuhMeYS4pedccUYgA,Gazab,Indian,179 Essex St,"40.72191, -73.98666",254,4.5,10002
A-ert0jDRBfku9ogyW_mEg,Spice Symphony,Indian,150 E 50th St,"40.7558937072754, -73.9715347290039",653,4.5,10022
objNX6cuj1JyUijFjw21Qw,Bombay Bistro,Indian,31 Cornelia St,"40.73136, -74.00253",276,4.5,10014
9pMhRYYgV7E9L7pzECtJKA,The Drunken Munkey - UES,Indian,338 E 92nd St,"40.78098, -73.94751",1351,4.5,10128
ut-560tVcs2g-ZU0Y_qqHQ,Saar Indian Bistro,Indian,241 W 51st St,"40.7626659, -73.9847093",396,4.5,10019
5UowQyu8tSljomOP-VL7NA,Tribhaanga,Indian,234 W 56th St,"40.765496, -73.982754",59,4.5,10019
u_CnSp9FieAuWqhvCn-A2A,Spice Mantra,Indian,1047 2nd Ave,"40.75825, -73.96633",79,4.5,10022
izRJeBfDQYJmd6ibIQ6Mfg,Mughlai Indian Cuisine,Indian,1724 2nd Ave,"40.78002, -73.94978",623,4.5,10128
qhXIW0LDT4XsoN2IE6dZHg,Ahimsa,Indian,204 E 38th St,"40.7478959, -73.9758638",218,4.5,10016
kS2CP48K66yL2TwIhUqy_A,Tamarind,Indian,99 Hudson St,"40.71909, -74.00892",1131,4.0,10013
ZikqL-flwV2XYlKtL2UfmA,Rangoli Exquisite Indian Cuisine,Indian,1393 A 2nd Ave,"40.7693, -73.95823",513,4.5,10021
xWVHj2XNcxEg79Nkb5Zb6Q,Semma,Indian,60 Greenwich Ave,"40.736054206102615, -74.0005639",345,4.0,10011
Txm8KtUh9Mn2E7980jTr5g,Dhamaka,Indian,119 Delancey St,"40.7180658, -73.9881304",433,4.0,10002
t6PzD4uzBOfyCLcd_lT8cQ,Sathi,Indian,216 3rd Ave,"40.73621, -73.98528",295,4.5,10003
jYhbUh1TV7SCfPxjIhVpcg,Baar Baar,Indian,13 E 1st St,"40.7244378855031, -73.9915524",1234,4.0,10003
iLjrQvbUYPj6NLkalyau0w,Hyderabadi Zaiqa,Indian,366 W 52 St,"40.76439568665357, -73.9876243",25,5.0,10019
Xl-zlT0NLLiKhym88em22w,Adda Indian Canteen,Indian,31-31 Thomson Ave,"40.745011, -73.934243",566,4.0,11101
NgD-6ogFGc_c4z5_Ur4k2g,Dhaba Indian Cuisine,Indian,108 Lexington Ave,"40.742364, -73.982813",1591,3.5,10016
XKy4Cy4uNgO7rxhH4yFJQQ,Mughlai Indian Cuisine,Indian,329 3rd Ave,"40.7397599, -73.98226",463,4.0,10010
7USPKYeaAfxl0Ch9j_1l7A,Moti Mahal Delux,Indian,1149 1st Ave,"40.76213, -73.9605",565,4.0,10065
lxNU-aBq0yPwBDx-i89ahA,Seva Indian Cuisine,Indian,34-11 30th Ave,"40.76571, -73.91839",1432,4.5,11103
RARUAVWONyRQovr0D6TGQg,Baazi,Indian,2588 Broadway,"40.7955035, -73.9708505",71,4.0,10025
3hlAeWgSKAnSQ1tg8k8D8g,Alachi Masala,Indian,Ave,"40.786196, -73.976448",281,4.0,10024
50eKjWOB-H9iuo1ocACOaQ,Imli Urban Indian Food,Indian,1136 1st Ave,"40.7616660604253, -73.9601389691234",256,4.5,10065
_7BGw3YFNOTzP1Www3zB7g,Mughlai Grill,Indian,6 Clinton St,"40.7210905, -73.9840446",530,4.5,10002
ePn4BwyXeY8NKN-MWSgfrQ,Kebab Aur Sharab,Indian,247 W 72nd St,"40.77951, -73.98331",86,4.0,10023
tN37MOvqzrmpU0h0PfoDmw,Utsav,Indian,1185 Avenue Of The Americas Plz,"40.75787, -73.982418",650,3.5,10036
GNPne4Il-itbn2sLbvMo1g,Angel Indian Restaurant,Indian,7414 37th Rd,"40.7473069226623, -73.8912814123575",421,4.5,11372
nd0uXNXaeaDMuMk4C1GusA,Bukhara Grill:Indian Spice Rave,Indian,217 E 49th St,"40.75501, -73.97028",554,3.5,10017
